gameid,date,league,patch,blue,red,blue_win,best_of
LTA North/2026 Season/Promotion_Round 2_2_3,2025-10-10 21:41:00,LTA North,25.19,Estral Esports,Luminosity Gaming,0,1
LTA North/2026 Season/Promotion_Finals_1_1,2025-10-12 20:09:00,LTA North,25.19,Disguised,Luminosity Gaming,1,1
LTA North/2026 Season/Promotion_Finals_1_2,2025-10-12 21:06:00,LTA North,25.19,Luminosity Gaming,Disguised,1,1
LTA North/2026 Season/Promotion_Finals_1_3,2025-10-12 22:00:00,LTA North,25.19,Disguised,Luminosity Gaming,1,1
LTA North/2026 Season/Promotion_Finals_1_4,2025-10-12 22:55:00,LTA North,25.19,Disguised,Luminosity Gaming,1,1
LCK/2026 Season/Cup_Week 1_1_1,2026-01-14 08:13:00,LCK,26.01,DN SOOPers,KT Rolster,1,1
LCK/2026 Season/Cup_Week 1_1_2,2026-01-14 09:06:00,LCK,26.01,DN SOOPers,KT Rolster,0,1
LPL/2026 Season/Split 1_Week 1_1_1,2026-01-14 09:13:00,LPL,26.01,Invictus Gaming,Weibo Gaming,1,1
LCK/2026 Season/Cup_Week 1_1_3,2026-01-14 09:55:00,LCK,26.01,KT Rolster,DN SOOPers,1,1
LPL/2026 Season/Split 1_Week 1_1_2,2026-01-14 10:19:00,LPL,26.01,Invictus Gaming,Weibo Gaming,0,1
LPL/2026 Season/Split 1_Week 1_1_3,2026-01-14 11:17:00,LPL,26.01,Weibo Gaming,Invictus Gaming,1,1
LCK/2026 Season/Cup_Week 1_2_1,2026-01-14 11:22:00,LCK,26.01,Dplus Kia,BRION,1,1
LCK/2026 Season/Cup_Week 1_2_2,2026-01-14 12:11:00,LCK,26.01,Dplus Kia,BRION,1,1
LPL/2026 Season/Split 1_Week 1_2_1,2026-01-14 12:37:00,LPL,26.01,JD Gaming,Top Esports,1,1
LPL/2026 Season/Split 1_Week 1_2_2,2026-01-14 13:26:00,LPL,26.01,JD Gaming,Top Esports,1,1
LPL/2026 Season/Split 1_Week 1_3_1,2026-01-15 07:12:00,LPL,26.01,Ultra Prime,LGD Gaming,0,1
LCK/2026 Season/Cup_Week 1_3_1,2026-01-15 08:05:00,LCK,26.01,DRX,Gen.G,0,1
LPL/2026 Season/Split 1_Week 1_3_2,2026-01-15 08:14:00,LPL,26.01,Ultra Prime,LGD Gaming,0,1
LCK/2026 Season/Cup_Week 1_3_2,2026-01-15 08:56:00,LCK,26.01,Gen.G,DRX,1,1
